Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,-0.472069,3.147095,0.138960,2.459683,2.533042,2.652456,2.871306,3.147095,3.463723,3.790501,4.008216,4.159607
1,1,-0.243237,4.176147,0.139722,3.237035,3.339298,3.504745,3.804604,4.176147,4.593890,5.015167,5.290354,5.479162
1,2,-0.017700,5.127470,0.140446,3.939589,4.071734,4.284093,4.664413,5.127470,5.637389,6.140387,6.463027,6.681751
1,3,0.201819,5.942932,0.141111,4.524147,4.685547,4.943030,5.398377,5.942932,6.530465,7.098063,7.456138,7.696302
1,4,0.412654,6.637647,0.141700,5.004926,5.195008,5.495872,6.020959,6.637647,7.289947,7.907971,8.292034,8.547205
1,5,0.613355,7.242529,0.142205,5.407765,5.626490,5.969800,6.560834,7.242529,7.949990,8.608312,9.011912,9.277837
1,6,0.802766,7.768780,0.142623,5.743280,5.990615,6.375417,7.028673,7.768780,8.523076,9.213455,9.631606,9.905107
1,7,0.979421,8.217348,0.142956,6.014665,6.290182,6.714907,7.425824,8.217348,9.010447,9.725495,10.153950,10.432400
1,8,1.141048,8.602978,0.143203,6.235794,6.538936,7.001904,7.766119,8.602978,9.428488,10.162820,10.598700,10.880410
1,9,1.284757,8.943767,0.143361,6.423349,6.753385,7.252828,8.066394,8.943767,9.797243,10.547630,10.989460,11.273710
1,10,1.407300,9.252262,0.143425,6.590413,6.946034,7.479629,8.338455,9.252262,10.130640,10.895410,11.342750,11.629450
1,11,1.505760,9.533834,0.143394,6.745118,7.124025,7.688389,8.587591,9.533834,10.434720,11.213080,11.666020,11.955460
1,12,1.577266,9.791095,0.143265,6.893828,7.292484,7.882930,8.816573,9.791095,10.712510,11.504240,11.963300,12.256050
1,13,1.620357,10.030700,0.143039,7.044845,7.458843,8.069897,9.031685,10.030700,10.971390,11.777090,12.243260,12.540180
1,14,1.637432,10.259820,0.142736,7.203680,7.628633,8.255047,9.239317,10.259820,11.219290,12.040080,12.514600,12.816700
1,15,1.632593,10.478840,0.142381,7.368913,7.800806,8.437817,9.439492,10.478840,11.456630,12.293500,12.777460,13.085630
1,16,1.609559,10.686530,0.142000,7.537497,7.972825,8.616246,9.630789,10.686530,11.682110,12.535800,13.030080,13.345040
1,17,1.571617,10.882850,0.141611,7.707049,8.142952,8.789308,9.812871,10.882850,11.895730,12.766840,13.272210,13.594600
1,18,1.521697,11.063500,0.141233,7.872153,8.306250,8.952527,9.981544,11.063500,12.092790,12.981490,13.498390,13.828620
1,19,1.462331,11.226660,0.140880,8.029345,8.459778,9.103520,10.134890,11.226660,12.271340,13.177510,13.706220,14.044580
1,20,1.395415,11.375030,0.140564,8.178851,8.604329,9.243753,10.275120,11.375030,12.434330,13.358030,13.898860,14.245670
1,21,1.322469,11.512650,0.140288,8.322306,8.742032,9.375978,10.405740,11.512650,12.586200,13.527710,14.081120,14.436780
1,22,1.244739,11.644910,0.140055,8.462691,8.876316,9.504203,10.531510,11.644910,12.732810,13.692780,14.259430,14.624490
1,23,1.163248,11.775250,0.139866,8.601828,9.009295,9.630937,10.655450,11.775250,12.877890,13.857240,14.437920,14.813000
1,24,1.078723,11.906770,0.139721,8.741606,9.143070,9.758567,10.780350,11.906770,13.024840,14.024700,14.620380,15.006200
1,25,0.991572,12.041590,0.139613,8.883509,9.279221,9.888816,10.908120,12.041590,13.175950,14.197620,14.809350,15.206740
1,26,0.902423,12.179540,0.139538,9.027297,9.417541,10.021520,11.038640,12.179540,13.330980,14.375710,15.004530,15.414300
1,27,0.812551,12.318300,0.139495,9.170727,9.555828,10.154520,11.169720,12.318300,13.487330,14.556050,15.202820,15.625650
1,28,0.722931,12.457020,0.139486,9.312790,9.693124,10.286920,11.300540,12.457020,13.644070,14.737580,15.403030,15.839520
1,29,0.634288,12.596620,0.139511,9.453928,9.829933,10.419320,11.431860,12.596620,13.802170,14.921270,15.606150,16.056920
1,30,0.547256,12.738350,0.139570,9.594921,9.967095,10.552680,11.564810,12.738350,13.962990,15.108550,15.813630,16.279310
1,31,0.462481,12.882610,0.139663,9.735921,10.104790,10.687220,11.699700,12.882610,14.126960,15.299820,16.025820,16.507010
1,32,0.380545,13.029150,0.139790,9.876638,10.242730,10.822660,11.836280,13.029150,14.293780,15.494650,16.242230,16.739460
1,33,0.301942,13.175260,0.139947,10.014980,10.378730,10.956720,11.972080,13.175260,14.460390,15.689670,16.459220,16.972860
1,34,0.227088,13.318170,0.140129,10.148850,10.510630,11.087110,12.104590,13.318170,14.623720,15.881360,16.673010,17.203230
1,35,0.156172,13.458330,0.140331,10.278660,10.638830,11.214220,12.234250,13.458330,14.784180,16.070110,16.883890,17.430790
1,36,0.089200,13.598340,0.140553,10.406480,10.765430,11.340250,12.363430,13.598340,14.944610,16.258930,17.094990,17.658730
1,37,0.026356,13.740690,0.140796,10.534170,10.892370,11.467230,12.494350,13.740690,15.107750,16.450740,17.309340,17.890130
1,38,-0.032300,13.886310,0.141060,10.662460,11.020370,11.595920,12.627860,13.886310,15.274630,16.646640,17.528000,18.126060
1,39,-0.086600,14.035640,0.141344,10.791670,11.149770,11.726680,12.764350,14.035640,15.445690,16.847030,17.751350,18.366810
1,40,-0.136378,14.188670,0.141647,10.921780,11.280540,11.859460,12.903790,14.188670,15.620920,17.051820,17.979180,18.612120
1,41,-0.181720,14.347320,0.141976,11.054220,11.414140,11.995810,13.047880,14.347320,15.802490,17.263400,18.214040,18.864590
1,42,-0.222618,14.510240,0.142335,11.187810,11.549370,12.134480,13.195320,14.510240,15.988960,17.480240,18.454290,19.122510
1,43,-0.259100,14.673970,0.142730,11.319800,11.683390,12.272510,13.342930,14.673970,16.176610,17.698290,18.695630,19.381410
1,44,-0.291199,14.832940,0.143165,11.445780,11.811660,12.405130,13.485560,14.832940,16.359310,17.910860,18.930980,19.633900
1,45,-0.319072,14.982500,0.143643,11.562130,11.930440,12.528420,13.618980,14.982500,16.532000,18.112400,19.154450,19.873870
1,46,-0.343027,15.120470,0.144164,11.667250,12.038050,12.640610,13.741210,15.120470,16.692260,18.300290,19.363300,20.098440
1,47,-0.363616,15.249530,0.144727,11.763380,12.136760,12.744000,13.854700,15.249530,16.843070,18.477860,19.561070,20.311360
1,48,-0.381476,15.374280,0.145328,11.854350,12.230480,12.842620,13.963720,15.374280,16.989550,18.650800,19.753890,20.519050
1,49,-0.397145,15.496980,0.145966,11.942140,12.321180,12.938470,14.070330,15.496980,17.134160,18.821900,19.944790,20.724740
1,50,-0.411042,15.616770,0.146640,12.026210,12.408280,13.030890,14.173800,15.616770,17.276020,18.990280,20.132960,20.927640
1,51,-0.423667,15.733610,0.147354,12.106670,12.491850,13.119920,14.274090,15.733610,17.415160,19.156150,20.318720,21.128220
1,52,-0.435559,15.848940,0.148107,12.184800,12.573180,13.206830,14.372520,15.848940,17.553230,19.321460,20.504320,21.328940
1,53,-0.447091,15.964190,0.148899,12.261850,12.653510,13.292910,14.470420,15.964190,17.691840,19.488110,20.691880,21.532100
1,54,-0.458488,16.076070,0.149729,12.335420,12.730340,13.375470,14.564820,16.076070,17.827370,19.652180,20.877310,21.733500
1,55,-0.469969,16.180520,0.150595,12.402520,12.800580,13.451220,14.652100,16.180520,17.955330,19.808750,21.055450,21.927840
1,56,-0.481745,16.276050,0.151493,12.462190,12.863180,13.519030,14.730930,16.276050,18.074020,19.955980,21.224390,22.113160
1,57,-0.494071,16.363330,0.152419,12.515160,12.918860,13.579610,14.802010,16.363330,18.184160,20.094690,21.385050,22.290490
1,58,-0.507203,16.443820,0.153367,12.562840,12.969050,13.634360,14.866760,16.443820,18.287290,20.226580,21.539270,22.461780
1,59,-0.521315,16.519610,0.154328,12.607080,13.015600,13.685190,14.927150,16.519610,18.385670,20.354120,21.689710,22.629840
1,60,-0.536329,16.592820,0.155298,12.649590,13.060280,13.733930,14.985150,16.592820,18.481580,20.479750,21.838910,22.797300
2,0,−1.279791,3.086626,0.1317898,2.488774,2.54915,2.648968,2.837406,3.086626,3.392086,3.733604,3.978784,4.158854
2,1,−1.173744,3.943229,0.1347234,3.158731,3.238239,3.36957,3.617044,3.943229,4.340936,4.782399,5.096995,5.326705
2,2,−1.069749,4.755405,0.1375007,3.784707,3.883482,4.046474,4.352962,4.755405,5.243316,5.780787,6.160874,6.436761
2,3,−0.9710239,5.497105,0.1400316,4.347939,4.46538,4.658958,5.022135,5.497105,6.069566,6.695313,7.134466,7.451378
2,4,−0.8777268,6.162355,0.1422787,4.845731,4.980906,5.203448,5.619944,6.162355,6.812156,7.516937,8.007849,8.360119
2,5,−0.7867554,6.749956,0.1442222,5.278665,5.430495,5.68011,6.146006,6.749956,7.468815,8.242191,8.776751,9.158168
2,6,−0.6957475,7.26359,0.1458619,5.650826,5.818223,6.092993,6.604246,7.26359,8.042868,8.874022,9.443916,9.848178
2,7,−0.6022482,7.709012,0.1472072,5.967474,6.149447,6.447581,7.000318,7.709012,8.540096,9.418243,10.01524,10.43615
2,8,−0.5032343,8.092723,0.1482503,6.234151,6.429879,6.749828,7.340496,8.092723,8.967098,9.881476,10.49738,10.92881
2,9,−0.39992,8.422654,0.1490023,6.457896,6.666652,7.007009,7.632318,8.422654,9.332482,10.27346,10.90118,11.33793
2,10,−0.2963157,8.708815,0.1494989,6.647627,6.868722,7.228171,7.885119,8.708815,9.647592,10.6077,11.24202,11.68049
2,11,−0.1971679,8.962192,0.1497848,6.813093,7.045843,7.423133,8.10904,8.962192,9.92506,10.8993,11.53717,11.97541
2,12,−0.1070564,9.19271,0.1499082,6.963177,7.206851,7.600733,8.313183,9.19271,10.17642,11.16215,11.80237,12.23988
2,13,−2.92E-02,9.408478,0.1499144,7.10507,7.358884,7.768099,8.504918,9.408478,10.41114,11.40755,12.05032,12.48761
2,14,3.60E-02,9.616183,0.1498391,7.244118,7.507351,7.930795,8.690218,9.616183,10.6369,11.64425,12.29045,12.72848
2,15,8.94E-02,9.821157,0.1497101,7.384345,7.65637,8.093118,8.873796,9.821157,10.85976,11.87902,12.52993,12.96987
2,16,0.1317562,10.0258,0.1495531,7.527314,7.807569,8.256823,9.05768,10.0258,11.08252,12.11497,12.77196,13.21501
2,17,0.1645141,10.22882,0.1493924,7.67165,7.959576,8.420551,9.240548,10.22882,11.30389,12.35067,13.01498,13.46219
2,18,0.1889228,10.42725,0.1492413,7.81476,8.109758,8.581609,9.419591,10.42725,11.52063,12.58252,13.25508,13.70726
2,19,0.2059919,10.61957,0.1491107,7.955194,8.256661,8.738534,9.593331,10.61957,11.73111,12.80872,13.49027,13.9481
2,20,0.2167247,10.80638,0.1490089,8.093078,8.400479,8.891623,9.762228,10.80638,11.93604,13.02998,13.72126,14.18535
2,21,0.2220555,10.98723,0.1489395,8.227791,8.540625,9.040339,9.925803,10.98723,12.13492,13.2457,13.9473,14.41819
2,22,0.2231241,11.16122,0.1489019,8.358336,8.676143,9.183775,10.0832,11.16122,12.32672,13.45459,14.16691,14.64498
2,23,0.2214033,11.32632,0.1488871,8.482847,8.805197,9.320115,10.23254,11.32632,12.50904,13.65377,14.37683,14.86214
2,24,0.2171636,11.48232,0.1488906,8.601178,8.927639,9.44921,10.37368,11.48232,12.68162,13.84289,14.57665,15.06925
2,25,0.2093859,11.63046,0.1489092,8.714706,9.044793,9.572314,10.50781,11.63046,12.84589,14.02369,14.76836,15.26848
2,26,0.1963749,11.77341,0.1489368,8.826206,9.159355,9.692037,10.63748,11.77341,13.00485,14.19975,14.95601,15.46424
2,27,0.1766693,11.91375,0.1489696,8.938254,9.273847,9.810834,10.76513,11.91375,13.16143,14.37451,15.14349,15.6608
2,28,0.1501257,12.05319,0.149008,9.052221,9.389673,9.93017,10.89234,12.05319,13.31756,14.55021,15.33326,15.86075
2,29,0.1170727,12.19259,0.1490497,9.16868,9.507455,10.05073,11.01987,12.19259,13.47416,14.72783,15.52639,16.06524
2,30,7.80E-02,12.33273,0.1490922,9.2881,9.627723,10.17313,11.14843,12.33273,13.63208,14.90828,15.72381,16.27527
2,31,0.0336374,12.47371,0.1491407,9.410145,9.750227,10.29722,11.27805,12.47371,13.79142,15.09167,15.92565,16.49093
2,32,−1.50E-02,12.61489,0.1492009,9.533862,9.874091,10.42225,11.40805,12.61489,13.95152,15.27719,16.13102,16.71131
2,33,−0.0672961,12.75536,0.1492733,9.65831,9.998403,10.54731,11.53756,12.75536,14.11133,15.4637,16.33868,16.93513
2,34,−0.1232011,12.89472,0.1493561,9.783153,10.12284,10.6721,11.66624,12.89472,14.2704,15.65075,16.54827,17.16208
2,35,−0.1819437,13.03285,0.1494471,9.908027,10.24708,10.79637,11.79394,13.03285,14.42856,15.83803,16.75939,17.39172
2,36,−0.2418477,13.16895,0.1495364,10.03187,10.37018,10.9193,11.91993,13.16895,14.5847,16.02394,16.97,17.6217
2,37,−0.3020172,13.30218,0.1496221,10.15373,10.49122,11.04001,12.0434,13.30218,14.73781,16.20715,17.17853,17.85027
2,38,−0.3627037,13.43228,0.1497103,10.27337,10.60995,11.15827,12.16409,13.43228,14.88769,16.3876,17.38507,18.07761
2,39,−0.4234819,13.559,0.1498126,10.39024,10.72587,11.27361,12.28164,13.559,15.03414,16.56511,17.58944,18.30359
2,40,−0.4834462,13.68221,0.1499415,10.50368,10.83839,11.38558,12.39579,13.68221,15.17708,16.73955,17.79142,18.5279
2,41,−0.5415437,13.80245,0.1501044,10.61361,10.94754,11.49433,12.5069,13.80245,15.31712,16.9114,17.99131,18.75068
2,42,−0.5964828,13.92101,0.150301,10.7206,11.05397,11.6007,12.61605,13.92101,15.45559,17.08176,18.18992,18.97246
2,43,−0.6468045,14.0392,0.1505266,10.82523,11.15841,11.70557,12.72437,14.0392,15.59373,17.25153,18.38769,19.19323
2,44,−0.6915084,14.15852,0.1507723,10.92852,11.26192,11.81012,12.83324,14.15852,15.73305,17.42188,18.58536,19.41335
2,45,−0.7297994,14.28032,0.1510355,11.03127,11.36539,11.91536,12.94383,14.28032,15.87491,17.59394,18.78371,19.63322
2,46,−0.7606013,14.40573,0.1513085,11.13414,11.46956,12.02213,13.05717,14.40573,16.02037,17.76834,18.98281,19.85238
2,47,−0.782704,14.53556,0.1515813,11.23748,11.57484,12.13098,13.17397,14.53556,16.17006,17.9451,19.18197,20.06943
2,48,−0.7951096,14.67022,0.1518495,11.34127,11.68131,12.24209,13.29457,14.67022,16.32426,18.124,19.38031,20.28288
2,49,−0.7974164,14.80983,0.1521214,11.44525,11.78874,12.35531,13.41896,14.80983,16.48312,18.30503,19.57756,20.49218
2,50,−0.7894232,14.95436,0.1524037,11.54907,11.89684,12.47041,13.54702,14.95436,16.64665,18.48807,19.77344,20.69685
2,51,−0.7713825,15.10352,0.1526981,11.65239,12.00527,12.58708,13.67844,15.10352,16.81452,18.67277,19.96756,20.89651
2,52,−0.7443526,15.25649,0.1530079,11.7547,12.11348,12.70469,13.81251,15.25649,16.98595,18.85858,20.1597,21.09127
2,53,−0.7091072,15.41218,0.1533342,11.8552,12.22064,12.82237,13.94823,15.41218,17.15979,19.04446,20.34905,21.28057
2,54,−0.6665497,15.57012,0.1536748,11.95365,12.32648,12.93979,14.08521,15.57012,17.33556,19.23012,20.53564,21.46477
